query,dateSearch,price,thumbnail,permalink,seller,source
6949509209948,2024-10-31,47990.0,http://http2.mlstatic.com/D_644622-MLC77169061936_072024-I.jpg,https://articulo.mercadolibre.cl/MLC-2543294326-broca-sds-plus-3-25x400x450mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205773,2024-10-31,2190.0,http://http2.mlstatic.com/D_889446-MLC74650396556_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466373313-broca-sds-plus-1-2-aristas-5x50x110mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205773,2024-10-31,7990.0,http://http2.mlstatic.com/D_689243-MLC72923073366_112023-I.jpg,https://articulo.mercadolibre.cl/MLC-1442279573-broca-sds-plus-1s3-5x50x110-bosch-_JM,"{'id': 305952399, 'nickname': 'DIMATCO LIMITADA'}",Meli
6949509205780,2024-10-31,2350.0,http://http2.mlstatic.com/D_713137-MLC74650101748_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466321575-broca-sds-plus-1-2-aristas-5x100x160mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205780,2024-10-31,3390.0,http://http2.mlstatic.com/D_841366-MLC72915834622_112023-I.jpg,https://articulo.mercadolibre.cl/MLC-2116998894-broca-sds-plus-1-s3-5x100x160-bosch-_JM,"{'id': 305952399, 'nickname': 'DIMATCO LIMITADA'}",Meli
6949509205810,2024-10-31,2190.0,http://http2.mlstatic.com/D_734382-MLC74796270463_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297229460-broca-sds-plus-1-2-aristas-6x50x110mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205827,2024-10-31,2350.0,http://http2.mlstatic.com/D_826867-MLU76958736561_062024-I.jpg,https://www.mercadolibre.cl/broca-sds-plus-1-bosch-6-x-160-x-100-mm-hormigon/p/MLC37696462,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205827,2024-10-31,2350.0,http://http2.mlstatic.com/D_994441-MLC74666238938_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466514567-broca-sds-plus-1-2-aristas-6x100x160mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205827,2024-10-31,3240.0,http://http2.mlstatic.com/D_991271-MLC69821356046_062023-I.jpg,https://articulo.mercadolibre.cl/MLC-1723801262-broca-sds-plus-1-bosch-6-x-160-x-100-mm-hormigon-_JM,"{'id': 1090220773, 'nickname': 'VIÑA_CENTROARRIENDO'}",Meli
6949509205834,2024-10-31,2539.0,http://http2.mlstatic.com/D_816924-MLC71901642236_092023-I.jpg,https://articulo.mercadolibre.cl/MLC-1427002767-broca-para-concreto-6mm-sds-plus-150x210-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
6949509205834,2024-10-31,2590.0,http://http2.mlstatic.com/D_838239-MLC74796329645_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297204008-broca-sds-plus-1-2-aristas-6x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205834,2024-10-31,2770.0,http://http2.mlstatic.com/D_702004-MLC79040822097_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1519704107-broca-para-concreto-6mm-sds-plus-150x210-bosch-_JM,"{'id': 1805723375, 'nickname': 'TOTALMETALLTDA'}",Meli
6949509205889,2024-10-31,2350.0,http://http2.mlstatic.com/D_606106-MLC74666337118_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297204124-broca-sds-plus-1-2-aristas-8x50x110mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205889,2024-10-31,3390.0,http://http2.mlstatic.com/D_947792-MLC51528561542_092022-I.jpg,https://articulo.mercadolibre.cl/MLC-1058005297-broca-para-martillo-encaje-sds-plus-1-s3-8x50x110-bosch-_JM,"{'id': 305952399, 'nickname': 'DIMATCO LIMITADA'}",Meli
6949509205896,2024-10-31,2430.0,http://http2.mlstatic.com/D_903643-MLC74666411342_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297217056-broca-sds-plus-1-2-aristas-8x100x160mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205902,2024-10-31,4590.0,http://http2.mlstatic.com/D_766677-MLC69838536761_062023-I.jpg,https://articulo.mercadolibre.cl/MLC-1391412099-broca-sds-plus-bosch-8-x-210-x-150-mm-hormigon-_JM,"{'id': 1090220773, 'nickname': 'VIÑA_CENTROARRIENDO'}",Meli
6949509205902,2024-10-31,2810.0,http://http2.mlstatic.com/D_714537-MLC74666419536_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297217060-broca-sds-plus-1-2-aristas-8x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205902,2024-10-31,4550.0,http://http2.mlstatic.com/D_739340-MLC78862072938_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1519683151-broca-sds-plus-bosch-8-x-210-x-150-mm-hormigon-_JM,"{'id': 1805723375, 'nickname': 'TOTALMETALLTDA'}",Meli
6949509205919,2024-10-31,3110.0,http://http2.mlstatic.com/D_633900-MLU76901681013_062024-I.jpg,https://www.mercadolibre.cl/broca-sds-plus-1-2-aristas-8x200x260mm-bosch/p/MLC37630089,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205919,2024-10-31,4990.0,http://http2.mlstatic.com/D_822945-MLC69823418200_062023-I.jpg,https://articulo.mercadolibre.cl/MLC-1393998525-broca-sds-plus-bosch-8-x-260-x-200-mm-hormigon-_JM,"{'id': 1090220773, 'nickname': 'VIÑA_CENTROARRIENDO'}",Meli
6949509205919,2024-10-31,3110.0,http://http2.mlstatic.com/D_720601-MLC74666537206_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297242452-broca-sds-plus-1-2-aristas-8x200x260mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205926,2024-10-31,2610.0,http://http2.mlstatic.com/D_620533-MLC74666565646_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466527061-broca-sds-plus-1-2-aristas-10x100x160mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205933,2024-10-31,2960.0,http://http2.mlstatic.com/D_687652-MLC74666633854_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297242526-broca-sds-plus-1-2-aristas-10x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205940,2024-10-31,3490.0,http://http2.mlstatic.com/D_870565-MLC74666699102_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297229970-broca-sds-plus-1-2-aristas-10x200x260mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205957,2024-10-31,7080.0,http://http2.mlstatic.com/D_910705-MLC74666791920_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466539017-broca-sds-plus-1-2-aristas-10x400x460mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205964,2024-10-31,2670.0,http://http2.mlstatic.com/D_610633-MLC74666792498_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297204620-broca-sds-plus-1-2-aristas-12x100x160mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
